ID,DSC,ORDER,KM,CW,CCW,CW_KM,CCW_KM
360,嘉義,1,0,361,,1.6,
361,北門,2,1.6,362,360,10.8,1.6
362,鹿滿,3,10.8,363,361,14.2,10.8
363,竹崎,4,14.2,364,362,18.9,14.2
364,木屐寮,5,18.9,365,363,23.3,18.9
365,樟腦寮,6,23.3,366,364,27.4,23.3
366,獨立山,7,27.4,367,365,31.4,27.4
367,梨園寮,8,31.4,368,366,34.9,31.4
368,交力坪,9,34.9,369,367,40.5,34.9
369,水社寮,10,40.5,370,368,45.8,40.5
370,奮起湖,11,45.8,371,369,50.9,45.8
371,多林,12,50.9,372,370,55.3,50.9
372,十字路,13,55.3,373,371,60.5,55.3
373,屏遮那,14,60.5,374,372,62.7,60.5
374,第一分道,15,62.7,376,373,66.8,62.7
376,二萬平,16,66.8,377,374,69.6,66.8
377,神木,17,69.6,378,376,71.6,69.6
378,阿里山,18,71.6,378,377,0,71.6
378,阿里山,1,0,379,378,1.3,0
379,沼平,2,1.3,380,378,4.9,1.3
380,對高岳,3,4.9,381,379,6.25,4.9
381,祝山,4,6.25,378,380,0,6.25
378,阿里山,1,0,377,381,1.7,0
377,神木,2,1.7,378,378,0,1.7
378,阿里山,1,0,379,377,1.3,0
379,沼平,2,1.3,,378,,1.3
