KIND,ID,DSC,SVGYAXIS,TERMINAL
LINE_M1,360,嘉義,0.00,
LINE_M1,NA,榮町,18.85,
LINE_M1,361,北門,33.52,
LINE_M1,NA,盧厝,60.75,
LINE_M1,NA,崎下,111.03,
LINE_M1,NA,灣橋,155.03,
LINE_M1,NA,朴仔埔,186.45,
LINE_M1,362,鹿滿,226.26,
LINE_M1,NA,新竹崎,280.73,
LINE_M1,363,竹崎,297.49,
LINE_M1,364,木屐寮,395.95,
LINE_M1,365,樟腦寮,488.13,
LINE_M1,366,獨立山,574.02,
LINE_M1,367,梨園寮,657.82,
LINE_M1,368,交力坪,731.15,
LINE_M1,369,水社寮,848.46,
LINE_M1,370,奮起湖,959.50,
LINE_M1,371,多林,1066.34,
LINE_M1,372,十字路,1158.52,
LINE_M1,373,屏遮那,1267.46,
LINE_M1,374,第一分道,1313.55,
LINE_M1,NA,第二分道,1372.21,
LINE_M1,376,二萬平,1399.44,
LINE_M1,377,神木,1458.10,
LINE_M1,378,阿里山,1500.00,
LINE_B2,378,阿里山,0.00,
LINE_B2,379,沼平,135.20,
LINE_B2,NA,十字分道,301.60,
LINE_B2,380,對高岳,509.60,
LINE_B2,381,祝山,650.00,
LINE_B3,378,阿里山,0.00,
LINE_B3,377,神木,650.00,
LINE_B4,378,阿里山,0.00,
LINE_B4,379,沼平,650.00,
